id,year,section,section_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference
"y2_new_1770921611895_24","2","1","Section 1","medium","Year 2 Question 24 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 24","Option B for Year 2 Question 24","Option C for Year 2 Question 24","Option D for Year 2 Question 24","D","Explanation for Year 2 Question 24 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_25","2","1","Section 1","medium","Year 2 Question 25 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 25","Option B for Year 2 Question 25","Option C for Year 2 Question 25","Option D for Year 2 Question 25","A","Explanation for Year 2 Question 25 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_26","2","2","Section 2","medium","Year 2 Question 26 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 26","Option B for Year 2 Question 26","Option C for Year 2 Question 26","Option D for Year 2 Question 26","B","Explanation for Year 2 Question 26 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_27","2","2","Section 2","medium","Year 2 Question 27 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 27","Option B for Year 2 Question 27","Option C for Year 2 Question 27","Option D for Year 2 Question 27","C","Explanation for Year 2 Question 27 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_28","2","2","Section 2","medium","Year 2 Question 28 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 28","Option B for Year 2 Question 28","Option C for Year 2 Question 28","Option D for Year 2 Question 28","D","Explanation for Year 2 Question 28 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_29","2","2","Section 2","medium","Year 2 Question 29 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 29","Option B for Year 2 Question 29","Option C for Year 2 Question 29","Option D for Year 2 Question 29","A","Explanation for Year 2 Question 29 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_30","2","2","Section 2","medium","Year 2 Question 30 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 30","Option B for Year 2 Question 30","Option C for Year 2 Question 30","Option D for Year 2 Question 30","B","Explanation for Year 2 Question 30 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_31","2","2","Section 2","medium","Year 2 Question 31 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 31","Option B for Year 2 Question 31","Option C for Year 2 Question 31","Option D for Year 2 Question 31","C","Explanation for Year 2 Question 31 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_32","2","2","Section 2","medium","Year 2 Question 32 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 32","Option B for Year 2 Question 32","Option C for Year 2 Question 32","Option D for Year 2 Question 32","D","Explanation for Year 2 Question 32 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_33","2","2","Section 2","medium","Year 2 Question 33 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 33","Option B for Year 2 Question 33","Option C for Year 2 Question 33","Option D for Year 2 Question 33","A","Explanation for Year 2 Question 33 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_34","2","2","Section 2","medium","Year 2 Question 34 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 34","Option B for Year 2 Question 34","Option C for Year 2 Question 34","Option D for Year 2 Question 34","B","Explanation for Year 2 Question 34 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_35","2","2","Section 2","medium","Year 2 Question 35 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 35","Option B for Year 2 Question 35","Option C for Year 2 Question 35","Option D for Year 2 Question 35","C","Explanation for Year 2 Question 35 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_36","2","2","Section 2","medium","Year 2 Question 36 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 36","Option B for Year 2 Question 36","Option C for Year 2 Question 36","Option D for Year 2 Question 36","D","Explanation for Year 2 Question 36 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_37","2","2","Section 2","medium","Year 2 Question 37 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 37","Option B for Year 2 Question 37","Option C for Year 2 Question 37","Option D for Year 2 Question 37","A","Explanation for Year 2 Question 37 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_38","2","2","Section 2","medium","Year 2 Question 38 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 38","Option B for Year 2 Question 38","Option C for Year 2 Question 38","Option D for Year 2 Question 38","B","Explanation for Year 2 Question 38 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_39","2","2","Section 2","medium","Year 2 Question 39 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 39","Option B for Year 2 Question 39","Option C for Year 2 Question 39","Option D for Year 2 Question 39","C","Explanation for Year 2 Question 39 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_40","2","2","Section 2","medium","Year 2 Question 40 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 40","Option B for Year 2 Question 40","Option C for Year 2 Question 40","Option D for Year 2 Question 40","D","Explanation for Year 2 Question 40 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_41","2","2","Section 2","medium","Year 2 Question 41 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 41","Option B for Year 2 Question 41","Option C for Year 2 Question 41","Option D for Year 2 Question 41","A","Explanation for Year 2 Question 41 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_42","2","2","Section 2","medium","Year 2 Question 42 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 42","Option B for Year 2 Question 42","Option C for Year 2 Question 42","Option D for Year 2 Question 42","B","Explanation for Year 2 Question 42 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_43","2","2","Section 2","medium","Year 2 Question 43 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 43","Option B for Year 2 Question 43","Option C for Year 2 Question 43","Option D for Year 2 Question 43","C","Explanation for Year 2 Question 43 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_44","2","2","Section 2","medium","Year 2 Question 44 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 44","Option B for Year 2 Question 44","Option C for Year 2 Question 44","Option D for Year 2 Question 44","D","Explanation for Year 2 Question 44 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_45","2","2","Section 2","medium","Year 2 Question 45 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 45","Option B for Year 2 Question 45","Option C for Year 2 Question 45","Option D for Year 2 Question 45","A","Explanation for Year 2 Question 45 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_46","2","2","Section 2","medium","Year 2 Question 46 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 46","Option B for Year 2 Question 46","Option C for Year 2 Question 46","Option D for Year 2 Question 46","B","Explanation for Year 2 Question 46 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_47","2","2","Section 2","medium","Year 2 Question 47 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 47","Option B for Year 2 Question 47","Option C for Year 2 Question 47","Option D for Year 2 Question 47","C","Explanation for Year 2 Question 47 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_48","2","2","Section 2","medium","Year 2 Question 48 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 48","Option B for Year 2 Question 48","Option C for Year 2 Question 48","Option D for Year 2 Question 48","D","Explanation for Year 2 Question 48 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_49","2","2","Section 2","medium","Year 2 Question 49 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 49","Option B for Year 2 Question 49","Option C for Year 2 Question 49","Option D for Year 2 Question 49","A","Explanation for Year 2 Question 49 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_50","2","2","Section 2","medium","Year 2 Question 50 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 50","Option B for Year 2 Question 50","Option C for Year 2 Question 50","Option D for Year 2 Question 50","B","Explanation for Year 2 Question 50 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_51","2","3","Section 3","medium","Year 2 Question 51 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 51","Option B for Year 2 Question 51","Option C for Year 2 Question 51","Option D for Year 2 Question 51","C","Explanation for Year 2 Question 51 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_52","2","3","Section 3","medium","Year 2 Question 52 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 52","Option B for Year 2 Question 52","Option C for Year 2 Question 52","Option D for Year 2 Question 52","D","Explanation for Year 2 Question 52 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_53","2","3","Section 3","medium","Year 2 Question 53 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 53","Option B for Year 2 Question 53","Option C for Year 2 Question 53","Option D for Year 2 Question 53","A","Explanation for Year 2 Question 53 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_54","2","3","Section 3","medium","Year 2 Question 54 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 54","Option B for Year 2 Question 54","Option C for Year 2 Question 54","Option D for Year 2 Question 54","B","Explanation for Year 2 Question 54 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_55","2","3","Section 3","medium","Year 2 Question 55 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 55","Option B for Year 2 Question 55","Option C for Year 2 Question 55","Option D for Year 2 Question 55","C","Explanation for Year 2 Question 55 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_56","2","3","Section 3","medium","Year 2 Question 56 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 56","Option B for Year 2 Question 56","Option C for Year 2 Question 56","Option D for Year 2 Question 56","D","Explanation for Year 2 Question 56 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_57","2","3","Section 3","medium","Year 2 Question 57 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 57","Option B for Year 2 Question 57","Option C for Year 2 Question 57","Option D for Year 2 Question 57","A","Explanation for Year 2 Question 57 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_58","2","3","Section 3","medium","Year 2 Question 58 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 58","Option B for Year 2 Question 58","Option C for Year 2 Question 58","Option D for Year 2 Question 58","B","Explanation for Year 2 Question 58 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_59","2","3","Section 3","medium","Year 2 Question 59 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 59","Option B for Year 2 Question 59","Option C for Year 2 Question 59","Option D for Year 2 Question 59","C","Explanation for Year 2 Question 59 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_60","2","3","Section 3","medium","Year 2 Question 60 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 60","Option B for Year 2 Question 60","Option C for Year 2 Question 60","Option D for Year 2 Question 60","D","Explanation for Year 2 Question 60 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_61","2","3","Section 3","medium","Year 2 Question 61 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 61","Option B for Year 2 Question 61","Option C for Year 2 Question 61","Option D for Year 2 Question 61","A","Explanation for Year 2 Question 61 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_62","2","3","Section 3","medium","Year 2 Question 62 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 62","Option B for Year 2 Question 62","Option C for Year 2 Question 62","Option D for Year 2 Question 62","B","Explanation for Year 2 Question 62 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_63","2","3","Section 3","medium","Year 2 Question 63 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 63","Option B for Year 2 Question 63","Option C for Year 2 Question 63","Option D for Year 2 Question 63","C","Explanation for Year 2 Question 63 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_64","2","3","Section 3","medium","Year 2 Question 64 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 64","Option B for Year 2 Question 64","Option C for Year 2 Question 64","Option D for Year 2 Question 64","D","Explanation for Year 2 Question 64 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_65","2","3","Section 3","medium","Year 2 Question 65 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 65","Option B for Year 2 Question 65","Option C for Year 2 Question 65","Option D for Year 2 Question 65","A","Explanation for Year 2 Question 65 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_66","2","3","Section 3","medium","Year 2 Question 66 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 66","Option B for Year 2 Question 66","Option C for Year 2 Question 66","Option D for Year 2 Question 66","B","Explanation for Year 2 Question 66 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_67","2","3","Section 3","medium","Year 2 Question 67 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 67","Option B for Year 2 Question 67","Option C for Year 2 Question 67","Option D for Year 2 Question 67","C","Explanation for Year 2 Question 67 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_68","2","3","Section 3","medium","Year 2 Question 68 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 68","Option B for Year 2 Question 68","Option C for Year 2 Question 68","Option D for Year 2 Question 68","D","Explanation for Year 2 Question 68 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_69","2","3","Section 3","medium","Year 2 Question 69 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 69","Option B for Year 2 Question 69","Option C for Year 2 Question 69","Option D for Year 2 Question 69","A","Explanation for Year 2 Question 69 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_70","2","3","Section 3","medium","Year 2 Question 70 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 70","Option B for Year 2 Question 70","Option C for Year 2 Question 70","Option D for Year 2 Question 70","B","Explanation for Year 2 Question 70 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_71","2","3","Section 3","medium","Year 2 Question 71 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 71","Option B for Year 2 Question 71","Option C for Year 2 Question 71","Option D for Year 2 Question 71","C","Explanation for Year 2 Question 71 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_72","2","3","Section 3","medium","Year 2 Question 72 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 72","Option B for Year 2 Question 72","Option C for Year 2 Question 72","Option D for Year 2 Question 72","D","Explanation for Year 2 Question 72 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_73","2","3","Section 3","medium","Year 2 Question 73 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 73","Option B for Year 2 Question 73","Option C for Year 2 Question 73","Option D for Year 2 Question 73","A","Explanation for Year 2 Question 73 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_74","2","3","Section 3","medium","Year 2 Question 74 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 74","Option B for Year 2 Question 74","Option C for Year 2 Question 74","Option D for Year 2 Question 74","B","Explanation for Year 2 Question 74 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_75","2","3","Section 3","medium","Year 2 Question 75 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 75","Option B for Year 2 Question 75","Option C for Year 2 Question 75","Option D for Year 2 Question 75","C","Explanation for Year 2 Question 75 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_76","2","4","Section 4","medium","Year 2 Question 76 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 76","Option B for Year 2 Question 76","Option C for Year 2 Question 76","Option D for Year 2 Question 76","D","Explanation for Year 2 Question 76 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_77","2","4","Section 4","medium","Year 2 Question 77 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 77","Option B for Year 2 Question 77","Option C for Year 2 Question 77","Option D for Year 2 Question 77","A","Explanation for Year 2 Question 77 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_78","2","4","Section 4","medium","Year 2 Question 78 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 78","Option B for Year 2 Question 78","Option C for Year 2 Question 78","Option D for Year 2 Question 78","B","Explanation for Year 2 Question 78 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_79","2","4","Section 4","medium","Year 2 Question 79 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 79","Option B for Year 2 Question 79","Option C for Year 2 Question 79","Option D for Year 2 Question 79","C","Explanation for Year 2 Question 79 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_80","2","4","Section 4","medium","Year 2 Question 80 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 80","Option B for Year 2 Question 80","Option C for Year 2 Question 80","Option D for Year 2 Question 80","D","Explanation for Year 2 Question 80 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_81","2","4","Section 4","medium","Year 2 Question 81 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 81","Option B for Year 2 Question 81","Option C for Year 2 Question 81","Option D for Year 2 Question 81","A","Explanation for Year 2 Question 81 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_82","2","4","Section 4","medium","Year 2 Question 82 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 82","Option B for Year 2 Question 82","Option C for Year 2 Question 82","Option D for Year 2 Question 82","B","Explanation for Year 2 Question 82 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_83","2","4","Section 4","medium","Year 2 Question 83 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 83","Option B for Year 2 Question 83","Option C for Year 2 Question 83","Option D for Year 2 Question 83","C","Explanation for Year 2 Question 83 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_84","2","4","Section 4","medium","Year 2 Question 84 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 84","Option B for Year 2 Question 84","Option C for Year 2 Question 84","Option D for Year 2 Question 84","D","Explanation for Year 2 Question 84 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_85","2","4","Section 4","medium","Year 2 Question 85 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 85","Option B for Year 2 Question 85","Option C for Year 2 Question 85","Option D for Year 2 Question 85","A","Explanation for Year 2 Question 85 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_86","2","4","Section 4","medium","Year 2 Question 86 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 86","Option B for Year 2 Question 86","Option C for Year 2 Question 86","Option D for Year 2 Question 86","B","Explanation for Year 2 Question 86 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_87","2","4","Section 4","medium","Year 2 Question 87 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 87","Option B for Year 2 Question 87","Option C for Year 2 Question 87","Option D for Year 2 Question 87","C","Explanation for Year 2 Question 87 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_88","2","4","Section 4","medium","Year 2 Question 88 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 88","Option B for Year 2 Question 88","Option C for Year 2 Question 88","Option D for Year 2 Question 88","D","Explanation for Year 2 Question 88 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_89","2","4","Section 4","medium","Year 2 Question 89 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 89","Option B for Year 2 Question 89","Option C for Year 2 Question 89","Option D for Year 2 Question 89","A","Explanation for Year 2 Question 89 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_90","2","4","Section 4","medium","Year 2 Question 90 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 90","Option B for Year 2 Question 90","Option C for Year 2 Question 90","Option D for Year 2 Question 90","B","Explanation for Year 2 Question 90 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_91","2","4","Section 4","medium","Year 2 Question 91 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 91","Option B for Year 2 Question 91","Option C for Year 2 Question 91","Option D for Year 2 Question 91","C","Explanation for Year 2 Question 91 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_92","2","4","Section 4","medium","Year 2 Question 92 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 92","Option B for Year 2 Question 92","Option C for Year 2 Question 92","Option D for Year 2 Question 92","D","Explanation for Year 2 Question 92 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_93","2","4","Section 4","medium","Year 2 Question 93 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 93","Option B for Year 2 Question 93","Option C for Year 2 Question 93","Option D for Year 2 Question 93","A","Explanation for Year 2 Question 93 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_94","2","4","Section 4","medium","Year 2 Question 94 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 94","Option B for Year 2 Question 94","Option C for Year 2 Question 94","Option D for Year 2 Question 94","B","Explanation for Year 2 Question 94 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_95","2","4","Section 4","medium","Year 2 Question 95 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 95","Option B for Year 2 Question 95","Option C for Year 2 Question 95","Option D for Year 2 Question 95","C","Explanation for Year 2 Question 95 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_96","2","4","Section 4","medium","Year 2 Question 96 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 96","Option B for Year 2 Question 96","Option C for Year 2 Question 96","Option D for Year 2 Question 96","D","Explanation for Year 2 Question 96 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_97","2","4","Section 4","medium","Year 2 Question 97 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 97","Option B for Year 2 Question 97","Option C for Year 2 Question 97","Option D for Year 2 Question 97","A","Explanation for Year 2 Question 97 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_98","2","4","Section 4","medium","Year 2 Question 98 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 98","Option B for Year 2 Question 98","Option C for Year 2 Question 98","Option D for Year 2 Question 98","B","Explanation for Year 2 Question 98 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_99","2","4","Section 4","medium","Year 2 Question 99 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 99","Option B for Year 2 Question 99","Option C for Year 2 Question 99","Option D for Year 2 Question 99","C","Explanation for Year 2 Question 99 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_100","2","4","Section 4","medium","Year 2 Question 100 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 100","Option B for Year 2 Question 100","Option C for Year 2 Question 100","Option D for Year 2 Question 100","D","Explanation for Year 2 Question 100 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_101","2","5","Section 5","medium","Year 2 Question 101 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 101","Option B for Year 2 Question 101","Option C for Year 2 Question 101","Option D for Year 2 Question 101","A","Explanation for Year 2 Question 101 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_102","2","5","Section 5","medium","Year 2 Question 102 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 102","Option B for Year 2 Question 102","Option C for Year 2 Question 102","Option D for Year 2 Question 102","B","Explanation for Year 2 Question 102 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_103","2","5","Section 5","medium","Year 2 Question 103 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 103","Option B for Year 2 Question 103","Option C for Year 2 Question 103","Option D for Year 2 Question 103","C","Explanation for Year 2 Question 103 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_104","2","5","Section 5","medium","Year 2 Question 104 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 104","Option B for Year 2 Question 104","Option C for Year 2 Question 104","Option D for Year 2 Question 104","D","Explanation for Year 2 Question 104 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_105","2","5","Section 5","medium","Year 2 Question 105 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 105","Option B for Year 2 Question 105","Option C for Year 2 Question 105","Option D for Year 2 Question 105","A","Explanation for Year 2 Question 105 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_106","2","5","Section 5","medium","Year 2 Question 106 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 106","Option B for Year 2 Question 106","Option C for Year 2 Question 106","Option D for Year 2 Question 106","B","Explanation for Year 2 Question 106 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_107","2","5","Section 5","medium","Year 2 Question 107 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 107","Option B for Year 2 Question 107","Option C for Year 2 Question 107","Option D for Year 2 Question 107","C","Explanation for Year 2 Question 107 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_108","2","5","Section 5","medium","Year 2 Question 108 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 108","Option B for Year 2 Question 108","Option C for Year 2 Question 108","Option D for Year 2 Question 108","D","Explanation for Year 2 Question 108 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
"y2_new_1770921611895_109","2","5","Section 5","medium","Year 2 Question 109 about heat transfer, thermodynamics, and temperature calculations.","Option A for Year 2 Question 109","Option B for Year 2 Question 109","Option C for Year 2 Question 109","Option D for Year 2 Question 109","A","Explanation for Year 2 Question 109 covering heat transfer methods and calculations.","AIT Period 2 Curriculum"
